Feature,Importance,Cumulative_Importance,Rank
HasStockOption_1,6.189282472926328,6.189282472926328,1
OverTime_Yes,4.097382217055748,10.286664689982075,2
MaritalStatus_Married,3.060749551676708,13.347414241658782,3
AvgYearsPerCompany,3.0573035816146765,16.404717823273458,4
StockOptionLevel,2.899872655506728,19.304590478780185,5
SatisfactionVariance,2.5534890317794057,21.85807951055959,6
Gender_Male,2.528715602189575,24.386795112749166,7
TotalSatisfaction,2.469150346814346,26.85594545956351,8
AgeGroup,2.4214798895722636,29.277425349135775,9
MaritalStatus_Single,2.400415962901294,31.67784131203707,10
RoleDeptInteraction_Laboratory Technician_Research & Development,2.2189243665626783,33.89676567859975,11
EducationField_Medical,2.0853399364037872,35.98210561500353,12
CommuteBurden,2.0626772219434324,38.044782836946965,13
JobSatisfaction,1.9975154320155657,40.04229826896253,14
HighPerformer_1,1.9840381700010215,42.026336438963554,15
ManagerStability,1.9548360449997286,43.981172483963284,16
BusinessTravel_Travel_Frequently,1.886725802983925,45.86789828694721,17
Department_Research & Development,1.796954180921414,47.66485246786862,18
BusinessTravel_Travel_Rarely,1.7928473661460864,49.457699834014704,19
LowSatisfaction_1,1.7799659214021386,51.23766575541684,20
TotalCompProxy,1.7419377545135086,52.97960350993035,21
Education,1.7205430519172642,54.70014656184761,22
TravelOvertime_No_Travel_Rarely,1.7088360226532906,56.408982584500905,23
WorkLifeBalance,1.696611930647747,58.10559451514865,24
EnvironmentSatisfaction,1.6878142250047379,59.79340874015339,25
RelationshipSatisfaction,1.5421724926163538,61.33558123276974,26
CareerStage,1.5221834974850328,62.85776473025477,27
Department_Sales,1.4886505317549337,64.3464152620097,28
EducationField_Life Sciences,1.474823240194995,65.8212385022047,29
NumCompaniesWorked,1.4386566114044612,67.25989511360916,30
JobInvolvement,1.377554479639727,68.63744959324889,31
RoleStability,1.358900094128744,69.99634968737763,32
PercentSalaryHike,1.3354968833662564,71.33184657074389,33
YearsSinceLastPromotion,1.3118946367373934,72.64374120748128,34
DistanceCategory,1.2045728472887052,73.84831405476999,35
DistanceFromHome,1.1390139277785787,74.98732798254856,36
YearsInCurrentRole,1.138306595930779,76.12563457847935,37
MonthlyRate,1.1118877595369465,77.23752233801629,38
YearsWithCurrManager,1.1109412258257065,78.348463563842,39
YearsAtCompany,1.0477177756137983,79.39618133945581,40
TotalWorkingYears,1.038142335712164,80.43432367516797,41
TravelOvertime_Yes_Travel_Rarely,1.0070447496802941,81.44136842484826,42
TrainingTimesLastYear,0.9943699909087367,82.435738415757,43
EducationField_Marketing,0.9430799489257554,83.37881836468276,44
TenureRatio,0.881493020616628,84.26031138529939,45
RoleDeptInteraction_Sales Executive_Sales,0.8798888312447395,85.14020021654413,46
JobRole_Laboratory Technician,0.8461276222680089,85.98632783881214,47
PromotionFrequency,0.8390739476872745,86.82540178649941,48
RoleDeptInteraction_Research Scientist_Research & Development,0.8260590171453391,87.65146080364475,49
Age,0.8036064266358826,88.45506723028063,50
HourlyRate,0.798738918322139,89.25380614860278,51
DailyRate,0.7618826551343086,90.01568880373709,52
AgeAtJoin,0.7495073532904009,90.76519615702749,53
MonthlyIncome,0.7477021213394462,91.51289827836693,54
JobLevel,0.6529442796264768,92.16584255799341,55
RoleDeptInteraction_Sales Representative_Sales,0.6460177715339049,92.81186032952732,56
IncomePerJobLevel,0.6340616439338169,93.44592197346114,57
IncomeToAgeRatio,0.6078943105749697,94.0538162840361,58
OvertimeBurden,0.5919056676563299,94.64572195169244,59
TravelOvertime_No_Travel_Frequently,0.5906726714087274,95.23639462310116,60
JobRole_Research Scientist,0.5416249799306946,95.77801960303185,61
TravelOvertime_Yes_Travel_Frequently,0.5154077979624223,96.29342740099428,62
PerformanceRating,0.4875545903012232,96.7809819912955,63
JobRole_Sales Executive,0.4859490084467753,97.26693099974229,64
JobRole_Sales Representative,0.45087527432830765,97.7178062740706,65
EarlyCareer_1,0.4245603338281643,98.14236660789877,66
TrainingInvestment,0.3717078064887777,98.51407441438754,67
JobRole_Manufacturing Director,0.352618710128861,98.8666931245164,68
EducationField_Technical Degree,0.3124940883319118,99.17918721284832,69
RoleDeptInteraction_Manufacturing Director_Research & Development,0.30001836156080475,99.47920557440912,70
HikeGap,0.20035045580608835,99.67955603021521,71
EducationField_Other,0.13731996839351726,99.81687599860872,72
RoleDeptInteraction_Human Resources_Human Resources,0.08323898297232504,99.90011498158104,73
UnderTrained_1,0.048400166911502736,99.94851514849255,74
JobRole_Human Resources,0.037072936838262426,99.9855880853308,75
TravelOvertime_Yes_Non-Travel,0.009443595208493622,99.9950316805393,76
RoleDeptInteraction_Research Director_Research & Development,0.004968319460697696,100.0,77
JobRole_Manager,0.0,100.0,78
JobRole_Research Director,0.0,100.0,79
RoleDeptInteraction_Manager_Human Resources,0.0,100.0,80
RoleDeptInteraction_Manager_Research & Development,0.0,100.0,81
RoleDeptInteraction_Manager_Sales,0.0,100.0,82
